jurisdiction_code,jurisdiction_name,due_date_mode,due_date,offset_months,offset_days,offset_years,title,category,notes,source_url,fiscal_year_end,effective_from,effective_to
CR,Croatia,relative,,18,0,,DMTT Return (Transitional),DMTT Return (Transitional),"Entities subject to the QDMTT are required to submit a QDMTT return by the GIR filing deadline, under Article 49 of the Law.",,,01/01/2024,
CR,Croatia,relative,,15,0,,Designated Entity Notification,Other Notifications (Standard),"Article 46(8) provides that if two or more constituent entities of the same MNE or a large domestic group that are subject to GloBE rules, are located in the Republic of Croatia, they shall be obliged to appoint one of them who shall be considered responsible for all tax rights and obligations in accordance with the general tax regulation.The September 2025 Draft Bill amends this provision to provide that the appointment of the designated filing entity must be made by the deadline for filing the GloBE tax returns in Article 49 of the Minimum Tax Act (ie by the GIR filing deadline).",,,01/01/2024,
CR,Croatia,relative,,18,0,,Designated Entity Notification (Transitional Year),Other Notifications (Transitional),"Article 46(8) provides that if two or more constituent entities of the same MNE or a large domestic group that are subject to GloBE rules, are located in the Republic of Croatia, they shall be obliged to appoint one of them who shall be considered responsible for all tax rights and obligations in accordance with the general tax regulation.The September 2025 Draft Bill amends this provision to provide that the appointment of the designated filing entity must be made by the deadline for filing the GloBE tax returns in Article 49 of the Minimum Tax Act (ie by the GIR filing deadline).",,,01/01/2024,
CR,Croatia,relative,,18,0,,Designated Filing Entity (Transitional),Other Notifications (Transitional),"Article 46(8) provides that if two or more constituent entities of the same MNE or a large domestic group that are subject to GloBE rules, are located in the Republic of Croatia, they shall be obliged to appoint one of them who shall be considered responsible for all tax rights and obligations in accordance with the general tax regulation.The September 2025 Draft Bill amends this provision to provide that the appointment of the designated filing entity must be made by the deadline for filing the GloBE tax returns in Article 49 of the Minimum Tax Act (ie by the GIR filing deadline).",,,01/01/2024,
CR,Croatia,relative,,15,0,,Designated Filing Entity Notification (Standard),Other Notifications (Standard),"Article 46(8) provides that if two or more constituent entities of the same MNE or a large domestic group that are subject to GloBE rules, are located in the Republic of Croatia, they shall be obliged to appoint one of them who shall be considered responsible for all tax rights and obligations in accordance with the general tax regulation.The September 2025 Draft Bill amends this provision to provide that the appointment of the designated filing entity must be made by the deadline for filing the GloBE tax returns in Article 49 of the Minimum Tax Act (ie by the GIR filing deadline).",,,01/01/2024,
CR,Croatia,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2024,
CR,Croatia,relative,,15,-30,,Double Filing Relief Notification (Standard),Other Notifications (Standard),"Yes. Under DAC9 Article 35.af(6) and NN 158/2025 Article 122.zt, Croatian constituent entities must notify the Tax Administration of the identity and jurisdiction of the GIR filing entity 30 days before the GIR filing deadline.",,,01/01/2024,
CR,Croatia,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2024,
CR,Croatia,relative,,18,-30,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),"Yes. Under DAC9 Article 35.af(6) and NN 158/2025 Article 122.zt, Croatian constituent entities must notify the Tax Administration of the identity and jurisdiction of the GIR filing entity 30 days before the GIR filing deadline.",,,01/01/2024,
CR,Croatia,relative,,15,30,,GloBE Tax Return (Standard),GloBE Tax Return (Standard),"Article 48(1) of the Law provides that an entity subject to the IIR or UTPR is required to file a top-up tax return within 30 days from the GIR filing deadline.

On December 31, 2025, Croatia published the Ordinance on automatic exchange of information in the field of taxation. This implements DAC9 and also provides the Croatian GIR (https://narodne-novine.nn.hr/clanci/sluzbeni/full/2025_12_158_2396.html)",,,01/01/2024,
CR,Croatia,relative,,18,30,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),"Article 48(1) of the Law provides that an entity subject to the IIR or UTPR is required to file a top-up tax return within 30 days from the GIR filing deadline.

On December 31, 2025, Croatia published the Ordinance on automatic exchange of information in the field of taxation. This implements DAC9 and also provides the Croatian GIR (https://narodne-novine.nn.hr/clanci/sluzbeni/full/2025_12_158_2396.html)",,,01/01/2024,
CR,Croatia,relative,,15,30,,Payment,Payment (Standard),"Article 48(4) of the Law provides that top-up tax arising under the IIR or UTPR must be paid within 30 days from the deadline for filing the top-up tax return.

Top-up tax arising under the QDMTT is due for payment within 30 days of the deadline for filing the QDMTT return, under Article 49(4) of the Law.",,,01/01/2024,
CR,Croatia,relative,,18,30,,Payment (Transitional),Payment (Transitional),"Article 48(4) of the Law provides that top-up tax arising under the IIR or UTPR must be paid within 30 days from the deadline for filing the top-up tax return.

Top-up tax arising under the QDMTT is due for payment within 30 days of the deadline for filing the QDMTT return, under Article 49(4) of the Law.",,,01/01/2024,
CU,Curacao,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2025,
CU,Curacao,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes (Article 13.1(4) - same filing deadline as the GIR,,,01/01/2025,
CU,Curacao,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2025,
CU,Curacao,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes (Article 13.1(4) - same filing deadline as the GIR,,,01/01/2025,
CU,Curacao,relative,,17,0,,GloBE Tax Return,GloBE Tax Return (Standard),Article 11.1(2) of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) within 17 months from the end of the reporting period (20 months in the transitional year).,,,01/01/2025,
CU,Curacao,relative,,20,0,,GloBE Tax Return (Transitional Year),GloBE Tax Return (Transitional),Article 11.1(2) of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) within 17 months from the end of the reporting period (20 months in the transitional year).,,,01/01/2025,
CU,Curacao,relative,,17,0,,Payment,Payment (Standard),Section 11.1(3) of the law provides that the top-up tax payable is due within seventeen months after the end of the reporting year (20 months in the transitional year).,,,01/01/2025,
CU,Curacao,relative,,20,0,,Payment (Transitional Year),Payment (Transitional),Section 11.1(3) of the law provides that the top-up tax payable is due within seventeen months after the end of the reporting year (20 months in the transitional year).,,,01/01/2025,
