jurisdiction_code,title,form_template_key,form_template_label,template_category,route_sensitive,qdmtt_context_expected,manual_review_required
BH,Registration (Entities in Scope at 01.01.2025),REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
BH,Registration Form,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
BB,Registration Form,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
BE,DMTT Return,QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
BE,DMTT Return (Transitional),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
BE,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
BE,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
BE,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
BE,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
BE,GloBE Return (Standard),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
BE,GloBE Return (Transitional),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
BE,Registration,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
BZ,Inclusion in DCTFWeb,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
BZ,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
BG,DMTT Return (Standard),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
BG,DMTT Return (Transitional Year),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
BG,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
BG,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
BG,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
BG,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
BG,GloBE Tax Return (Standard),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
BG,GloBE Tax Return (Transitional Year),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
CA,DMTT Return (Standard),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
CA,DMTT Return (Transitional Year),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
CA,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
CA,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
CA,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
CA,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
CA,GloBE Tax Return (Standard),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
CA,GloBE Tax Return (Transitional Year),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
CA,Payment (Standard),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
CA,Payment (Transitional),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
CR,DMTT Return (Standard),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
CR,DMTT Return (Transitional),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
CR,Designated Entity Notification,OTHER_PILLAR_TWO_NOTIFICATION,Other Pillar Two notification / election,Notification,No,No,Yes
CR,Designated Entity Notification (Transitional Year),OTHER_PILLAR_TWO_NOTIFICATION,Other Pillar Two notification / election,Notification,No,No,Yes
CR,Designated Filing Entity (Transitional),OTHER_PILLAR_TWO_NOTIFICATION,Other Pillar Two notification / election,Notification,No,No,Yes
CR,Designated Filing Entity Notification (Standard),OTHER_PILLAR_TWO_NOTIFICATION,Other Pillar Two notification / election,Notification,No,No,Yes
CR,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
CR,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
CR,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
CR,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
CR,GloBE Tax Return (Standard),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
CR,GloBE Tax Return (Transitional),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
CR,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
CR,Payment (Transitional),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
CU,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
CU,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
CU,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
CU,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
CU,GloBE Tax Return,COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
CU,GloBE Tax Return (Transitional Year),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
CU,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
CU,Payment (Transitional Year),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
CY,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
CY,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
CY,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
